LC;S_LC
Badan Air;1
Hutan;5
Kawasan Lindung/Konservasi;5
Lahan Terbangun;2
Padang Rumput;2
Perkebunan;2
Pertanian Lahan Basah;1
Pertanian Lahan Kering;2
Tambak;1
