LC;S_LC
Badan Air;5
Hutan;5
Kawasan Lindung/Konservasi;4
Lahan Terbangun;1
Padang Rumput;3
Perkebunan;1
Pertanian Lahan Basah;1
Pertanian Lahan Kering;3
Tambak;2
